date,우리들휴브레인,우리들제약,에이텍,바른손,DSR
2017-03-10,0,46,0,63,0
2017-03-11,0,0,0,0,0
2017-03-12,0,0,0,0,0
2017-03-13,0,0,0,41,0
2017-03-14,0,0,0,0,0
2017-03-15,0,0,0,0,0
2017-03-16,0,0,0,65,0
2017-03-17,0,0,0,0,0
2017-03-18,0,0,0,0,0
2017-03-19,0,0,0,0,0
2017-03-20,0,0,0,0,0
2017-03-21,0,0,0,50,0
2017-03-22,0,0,0,0,0
2017-03-23,0,0,0,0,0
2017-03-24,0,0,0,0,0
2017-03-25,0,0,0,0,0
2017-03-26,0,0,0,0,0
2017-03-27,0,0,0,54,0
2017-03-28,0,0,0,0,0
2017-03-29,0,46,0,42,0
2017-03-30,0,0,0,0,0
2017-03-31,0,0,0,60,0
2017-04-01,0,0,0,0,0
2017-04-02,0,0,0,48,0
2017-04-03,0,48,0,0,0
2017-04-04,0,0,0,50,0
2017-04-05,0,0,0,62,0
2017-04-06,0,0,0,42,0
2017-04-07,0,0,0,0,0
2017-04-08,0,0,0,0,0
2017-04-09,0,0,0,0,0
2017-04-10,42,0,0,0,0
2017-04-11,0,50,0,0,0
2017-04-12,0,0,0,61,0
2017-04-13,0,41,0,77,0
2017-04-14,0,52,0,59,0
2017-04-15,0,0,0,0,0
2017-04-16,0,0,0,43,0
2017-04-17,0,0,0,70,0
2017-04-18,0,0,0,46,0
2017-04-19,0,0,0,52,0
2017-04-20,0,0,0,44,0
2017-04-21,0,0,0,51,0
2017-04-22,0,0,0,0,0
2017-04-23,0,0,0,56,0
2017-04-24,0,0,0,65,0
2017-04-25,0,0,0,0,0
2017-04-26,0,0,0,85,0
2017-04-27,0,0,0,0,0
2017-04-28,0,0,0,49,0
2017-04-29,0,0,0,100,0
2017-04-30,0,0,0,71,0
2017-05-01,0,0,0,0,0
2017-05-02,0,0,0,68,0
2017-05-03,0,0,0,0,0
2017-05-04,0,58,0,67,0
2017-05-05,0,0,0,0,0
2017-05-06,0,0,0,69,0
2017-05-07,0,0,0,46,0
2017-05-08,0,42,0,42,0
2017-05-09,0,0,0,0,0
2017-05-10,46,0,0,62,0
2017-05-11,0,0,0,51,0
2017-05-12,0,0,0,52,0
2017-05-13,0,0,0,0,0
2017-05-14,0,0,0,0,0
2017-05-15,0,0,0,0,0
2017-05-16,0,0,0,66,0
2017-05-17,0,0,0,0,0
